S	0	1377	*	*	*	*	*	aba:Acid345_3931	*
H	0	1377	63.7	+	0	0	3D512M3I655M21D120MI38M17I28M3I	abac:LuPra_04134	aba:Acid345_3931
H	0	1377	57.5	+	0	0	10M3I576M2D22M2I550M21D8M6D169M3I13M21I	abat:CFX1CAM_0064	aba:Acid345_3931
H	0	1467	56.6	+	0	0	10D14M7I329M30D62MI28MD385M9D166M3I168M18D7M6D200MI6M28D	acav:VI35_20810	aba:Acid345_3931
H	0	1386	57.1	+	0	0	6I336M12D508M3D316M24D187M24I	adh:CK627_16240	aba:Acid345_3931
H	0	1371	63.9	+	0	0	7M3I512M3I645M12D9M12D83M2D22M2I45M9I22M15I	adk:Alide2_1318	aba:Acid345_3931
H	0	1371	63.7	+	0	0	7M3I512M3I645M12D9M12D152M9I22M15I	adn:Alide_3129	aba:Acid345_3931
H	0	1386	57.0	+	0	0	6I336M6D8M6D471M3D345M24D187M24I	aeo:O23A_p1614	aba:Acid345_3931
H	0	1377	57.0	+	0	0	5D13M8I402M2D31M2I722M24D54M3I14M5D53MD29M2I22M22I	afd:Alfi_0891	aba:Acid345_3931
H	0	1371	63.2	+	0	0	5M3I478M3I680M13D6M11D159MI19M23I	afw:Anae109_1760	aba:Acid345_3931
H	0	1386	57.2	+	0	0	6I336M12D483M3D341M24D187M24I	aha:AHA_1963	aba:Acid345_3931
H	0	1386	57.3	+	0	0	6I336M12D483M3D341M24D175MD11M25I	ahd:AI20_09355	aba:Acid345_3931
H	0	1386	57.7	+	0	0	6I336M12D508M3D316M24D187M24I	ahh:RY45_10515	aba:Acid345_3931
H	0	1386	57.4	+	0	0	6I336M12D483M3D341M24D187M24I	ahi:VU14_12410	aba:Acid345_3931
H	0	1386	57.1	+	0	0	6I336M12D479M3D345M24D187M24I	ahj:V469_12505	aba:Acid345_3931
H	0	1386	57.1	+	0	0	6I336M12D479M3D345M24D187M24I	ahp:V429_10900	aba:Acid345_3931
H	0	1386	57.1	+	0	0	6I336M12D479M3D345M24D187M24I	ahr:V428_10890	aba:Acid345_3931
H	0	1386	57.1	+	0	0	6I336M12D479M3D345M24D187M24I	ahy:AHML_10600	aba:Acid345_3931
H	0	1518	55.9	+	0	0	45D19M9D331M30D62MI28MD385M9D158M3I176M18D7M6D181MI25M28D	amed:B224_5641	aba:Acid345_3931
H	0	510	61.4	+	0	0	96D414M963I	amq:AMETH_0369	aba:Acid345_3931
H	0	1380	56.2	+	0	0	4D23M2D484M6I296M3D40M3I306M27D95MI55MD28M2I16M22I	ams:AMIS_22590	aba:Acid345_3931
H	0	1380	51.6	+	0	0	3I816M3D331M2I16M26D188M21I	amt:Amet_3003	aba:Acid345_3931
H	0	1464	50.6	+	0	0	31D43M6D56MI683M3I381M10D6M11D175M12D29M21D	amu:Amuc_1995	aba:Acid345_3931
H	0	1404	50.2	+	0	0	9D13M3D318M6D96MI30M2I42M3I669M21D67M9D121M15I	ape:APE_1275	aba:Acid345_3931
